iter	Passed	Remaining
0	0	746
1	1	656
2	1	630
3	2	628
4	3	618
5	3	610
6	4	605
7	4	597
8	5	592
9	5	584
10	6	579
11	6	575
12	7	572
13	8	569
14	8	566
15	9	562
16	9	559
17	10	555
18	10	554
19	11	553
20	11	552
21	12	552
22	13	558
23	13	560
24	14	562
25	14	561
26	15	560
27	16	561
28	16	561
29	17	559
30	17	559
31	18	557
32	19	557
33	19	556
34	20	555
35	20	553
36	21	552
37	21	550
38	22	549
39	22	547
40	23	546
41	23	545
42	24	547
43	25	546
44	25	545
45	26	544
46	26	543
47	27	547
48	28	549
49	28	550
50	29	549
51	30	548
52	30	546
53	31	545
54	31	544
55	32	544
56	32	543
57	33	542
58	33	541
59	34	540
60	35	539
61	35	538
62	36	537
63	36	536
64	37	534
65	37	533
66	38	533
67	38	532
68	39	531
69	39	531
70	40	530
71	41	529
72	41	530
73	42	529
74	42	529
75	43	529
76	44	528
77	44	527
78	45	527
79	45	526
80	46	526
81	47	527
82	47	523
83	47	522
84	48	522
85	49	521
86	49	520
87	50	519
88	50	518
89	51	517
90	51	516
91	52	515
92	52	515
93	53	515
94	53	514
95	54	513
96	55	512
97	55	511
98	55	509
99	56	508
100	57	510
101	57	509
102	58	508
103	58	507
104	59	506
105	59	505
106	60	505
107	61	504
108	61	503
109	62	502
110	62	500
111	63	499
112	63	498
113	63	496
114	64	495
115	64	494
116	65	492
117	65	491
118	66	490
119	66	489
120	67	488
121	67	486
122	68	485
123	68	484
124	69	483
125	69	482
126	69	480
127	70	479
128	70	478
129	71	481
130	72	480
131	73	480
132	73	480
133	74	479
134	74	479
135	75	478
136	75	478
137	76	477
138	76	476
139	77	475
140	77	474
141	78	472
142	78	471
143	79	470
144	79	469
145	80	469
146	80	468
147	81	467
148	81	466
149	82	466
150	82	465
151	83	464
152	83	463
153	84	462
154	84	461
155	85	460
156	85	459
157	86	458
158	86	459
159	87	458
160	87	457
161	88	456
162	88	456
163	89	455
164	89	454
165	90	454
166	90	453
167	91	452
168	91	451
169	92	450
170	92	450
171	93	449
172	93	448
173	94	447
174	94	446
175	95	445
176	95	445
177	96	444
178	96	443
179	97	443
180	97	442
181	98	441
182	98	440
183	99	439
184	99	438
185	100	438
186	100	437
187	102	442
188	103	442
189	103	442
190	104	441
191	104	440
192	105	440
193	105	440
194	106	439
195	106	438
196	107	438
197	108	437
198	108	437
199	109	436
200	109	436
201	110	436
202	110	435
203	111	434
204	111	434
205	112	433
206	112	432
207	113	431
208	113	430
209	114	430
210	114	429
211	115	428
212	116	428
213	117	431
214	118	430
215	118	430
216	119	429
217	119	428
218	120	428
219	120	427
220	121	426
221	121	425
222	122	425
223	122	424
224	122	423
225	123	422
226	124	422
227	124	421
228	125	420
229	125	420
230	126	419
231	126	419
232	127	418
233	127	417
234	128	416
235	128	416
236	129	415
237	129	414
238	129	413
239	131	417
240	132	417
241	133	417
242	133	416
243	134	415
244	134	415
245	135	414
246	135	413
247	136	412
248	136	412
249	137	411
250	137	410
251	138	410
252	138	409
253	139	408
254	139	408
255	140	407
256	140	406
257	141	405
258	141	405
259	142	404
260	142	403
261	143	403
262	143	402
263	144	401
264	144	401
265	145	400
266	145	400
267	146	400
268	147	399
269	147	399
270	148	398
271	148	398
272	149	397
273	149	397
274	150	396
275	150	395
276	151	395
277	151	394
278	152	394
279	153	393
280	153	393
281	154	392
282	154	392
283	155	391
284	155	390
285	156	390
286	156	389
287	157	388
288	157	388
289	158	387
290	158	386
291	159	385
292	159	385
293	160	385
294	160	384
295	161	383
296	161	383
297	162	382
298	162	382
299	163	381
300	163	380
301	164	380
302	164	379
303	165	378
304	165	378
305	166	377
306	167	377
307	167	376
308	168	376
309	168	375
310	169	374
311	169	373
312	170	373
313	170	372
314	171	372
315	171	371
316	172	370
317	172	370
318	173	369
319	173	368
320	173	367
321	174	367
322	175	367
323	175	366
324	176	365
325	176	365
326	177	364
327	177	364
328	178	363
329	178	362
330	179	362
331	179	361
332	180	361
333	180	360
334	181	359
335	181	359
